job_title,skills_languages,skills_frameworks,skills_databases,skills_platforms,wanted_languages,wanted_frameworks,wanted_databases,wanted_platforms,hiring_algorithms,hiring_tech_exp,hiring_communication,hiring_opensource,hiring_education,hiring_execution,problem_solving,building_things,learning_new_tech,invest_time_tools,collaborate_remote,country,years_coding_numeric,job_category
Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Netherlands,3.5,Desktop Developer
Embedded applications/devices developer,C; C++; C#,,,Arduino,C; C++,,,Arduino; Raspberry Pi,Important,Important,Important,Important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,Poland,4.5,Embedded Developer
Web developer; Desktop applications developer,Java; JavaScript; Python,Node.js; Cordova,PostgreSQL,,Java; JavaScript; Python,Node.js; React; Cordova,SQL Server; PostgreSQL,Android; Windows Desktop,Important,Somewhat important,Important,Not very important,Very important,Important,Unknown,Unknown,Unknown,Unknown,Disagree,Germany,3.5,Web Developer
Not specified,Java; JavaScript; Python,,,Windows Desktop; WordPress,Java,,,Windows Desktop; WordPress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Canada,4.5,Not specified
Web developer; Graphics programming; Desktop applications developer,Java; JavaScript; PHP,,MySQL; Oracle; SQLite,Windows Desktop; WordPress,C++; C#; Go; Java; JavaScript; PHP; Ruby; SQL,AngularJS; Hadoop,MongoDB; MySQL; Oracle; SQLite,Windows Phone; Windows Desktop; WordPress; Amazon Web Services (AWS),Important,Very important,Not very important,Important,Not very important,Very important,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,India,3.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Germany,4.5,Not specified
Web developer,Java; JavaScript; SQL,,MySQL; Oracle,,Java; JavaScript; Python; Scala; TypeScript,AngularJS; Node.js,MySQL; Oracle,Android; Arduino; Raspberry Pi; Amazon Web Services (AWS),Somewhat important,Very important,Very important,Important,Not very important,Very important,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,United Kingdom,5.5,Web Developer
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,10.5,Web Developer
Not specified,Python; R,,,Windows Desktop,C; Python; R,,,Windows Desktop; Linux Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,India,4.5,Not specified
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Albania,1.5,Not specified
Web developer; Mobile developer; Systems administrator; DevOps specialist,Objective-C; PHP,,Redis; MySQL,Amazon Web Services (AWS),PHP; Swift,,Redis; MySQL; SQLite,iOS; Amazon Web Services (AWS),Important,Very important,Important,Somewhat important,Not very important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Netherlands,12.5,Web Developer
Web developer; Mobile developer; Graphics programming,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Canada,1.5,Web Developer
Not specified,JavaScript; Python,Node.js,,Linux Desktop,C; Julia; Lua; Python,,Cassandra,Linux Desktop; Arduino; Raspberry Pi,Important,Somewhat important,Important,Very important,Not very important,Important,Agree,Agree,Agree,Disagree,Somewhat agree,Germany,4.5,Not specified
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,4.5,Not specified
Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,France,2.5,Web Developer
Graphics programming; Graphic designer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Canada,1.5,Desktop Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Unknown,Bangladesh,1.5,Not specified
Web developer,Java; JavaScript; PHP,Node.js,MySQL; PostgreSQL; Oracle,,Java; JavaScript,Node.js,Cassandra; MongoDB; PostgreSQL; Oracle,,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very important,Unknown,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Bangladesh,3.5,Web Developer
Data scientist,Clojure; Java; Python,,MongoDB; Redis,Android; Mac OS,Clojure; Java; Python,,MongoDB; Redis,Android; Mac OS; Amazon Web Services (AWS),Important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Switzerland,5.5,Data Scientist
Not specified,PHP; Python; SQL,,MySQL,Raspberry Pi,Assembly; C; C++; C#,,MySQL,Raspberry Pi,Important,Important,Very important,Somewhat important,Not very important,Very important,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,United Kingdom,4.5,Not specified
Web developer; Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator; Other,JavaScript; PHP; Python; SQL,AngularJS; Node.js; React,MongoDB; MySQL; PostgreSQL; SQLite,WordPress,C; Lua; Python; SQL,Hadoop,MongoDB; MySQL; PostgreSQL; SQLite,,Important,Important,Important,Not very important,Somewhat important,Not very important,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Hungary,4.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,I prefer not to say,4.5,Not specified
Web developer; Database administrator,C#; JavaScript; SQL,.NET Core,SQL Server,Microsoft Azure,TypeScript,React,,Microsoft Azure,Somewhat important,Important,Important,Not very important,Not very important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Disagree,United States,8.5,Web Developer
Web developer; Mobile developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Agree,Unknown,Unknown,Germany,1.5,Web Developer
Web developer; Database administrator; Systems administrator,Common Lisp; JavaScript; Objective-C; PHP; SQL; Swift,,MySQL; SQLite,iOS,Common Lisp; JavaScript; Objective-C; PHP; SQL; Swift,AngularJS,MySQL; SQLite,iOS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Germany,1.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,4.5,Not specified
Not specified,C++; Perl; Python; SQL,,MySQL; SQLite,Amazon Web Services (AWS),C++; Python,Spark,MySQL; SQLite,Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Agree,Somewhat agree,Agree,United States,20.0,Not specified
Web developer; Mobile developer; Desktop applications developer,C; C++; JavaScript; Lua; Objective-C; PHP; Python; Swift,AngularJS; Cordova,MySQL,iOS; Mac OS; Arduino; Raspberry Pi,C; JavaScript; Lua; PHP; Swift,,,iOS; Mac OS; Arduino; Raspberry Pi,Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Somewhat important,Agree,Strongly agree,Agree,Somewhat agree,Unknown,Italy,3.5,Web Developer
Web developer; Developer with a statistics or mathematics background; Data scientist,Java; JavaScript; PHP; SQL,Hadoop,MySQL; PostgreSQL; SQLite,Raspberry Pi; WordPress,Java; JavaScript; PHP; R; SQL,AngularJS; Hadoop,PostgreSQL; SQLite,Android; Raspberry Pi; WordPress; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Agree,Somewhat agree,Unknown,Germany,6.5,Web Developer
Other,C#; Java,.NET Core,SQL Server,Amazon Web Services (AWS),C#; F#; Scala,Node.js; Xamarin; .NET Core,MongoDB,Arduino; Raspberry Pi; Amazon Web Services (AWS),Important,Not very important,Very important,Important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Unknown,United States,20.0,Other
Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,C; Java; Scala,,MySQL,Android; Arduino,C; Scala,,MongoDB,Android; Arduino,Very important,Not very important,Not very important,Important,Somewhat important,Very important,Strongly agree,Strongly agree,Agree,Disagree,Disagree,France,20.0,Web Developer
Other,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saudi Arabia,7.5,Other
Mobile developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer,C#; JavaScript; Swift; TypeScript,AngularJS; Node.js; React; .NET Core,SQL Server,Android; iOS; Windows Desktop; Microsoft Azure,C#; F#; JavaScript; TypeScript,Node.js; React; .NET Core,,Android; iOS; Windows Desktop,Somewhat important,Somewhat important,Very important,Not at all important,Important,Very important,Unknown,Unknown,Unknown,Unknown,Strongly agree,Canada,4.5,Desktop Developer
Web developer,C#; Java; JavaScript; Python; SQL,.NET Core,SQL Server; MySQL,,Java; JavaScript,,SQL Server; MySQL,Arduino; Raspberry Pi,Important,Important,Somewhat important,Somewhat important,Not at all important,Not very important,Unknown,Unknown,Unknown,Unknown,Unknown,India,2.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Agree,Unknown,Unknown,Canada,4.5,Not specified
Web developer; Mobile developer,JavaScript; SQL,AngularJS; Node.js,MySQL,Android; Amazon Web Services (AWS),Go; Java; JavaScript; Ruby; SQL; Swift; TypeScript,AngularJS; Node.js; React,MySQL,Android; iOS; Amazon Web Services (AWS),Not very important,Important,Important,Not very important,Important,Important,Strongly agree,Strongly agree,Agree,Agree,Agree,United Kingdom,1.5,Web Developer
Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,C#; Java; JavaScript; SQL,AngularJS; Node.js; React,Oracle,Windows Desktop; Linux Desktop,C++; Go; Groovy; Java; JavaScript; Perl; Python; R; Ruby; SQL,AngularJS; Hadoop; Node.js; React; Cordova,MySQL; Oracle,Windows Desktop; Linux Desktop,Very important,Important,Very important,Not very important,Important,Important,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,Mexico,10.5,Web Developer
Other,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Strongly agree,Agree,Unknown,United States,10.5,Other
Not specified,C; Haskell,,,,Haskell,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Germany,5.5,Not specified
Web developer; Desktop applications developer,Java; JavaScript,,SQL Server; Oracle; SQLite,,Java; JavaScript; SQL,Node.js; React; Cordova,MongoDB; SQL Server; MySQL; Oracle; SQLite,Android; Linux Desktop; Raspberry Pi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Somewhat agree,Agree,Disagree,India,2.5,Web Developer
Web developer; Desktop applications developer,C++; C#; JavaScript; SQL,,SQL Server; SQLite,Windows Desktop,C++; C#; Haskell; JavaScript; TypeScript,,,Windows Desktop,Somewhat important,Important,Important,Not very important,Somewhat important,Very important,Somewhat agree,Agree,Agree,Somewhat agree,Agree,United States,12.5,Web Developer
Web developer; DevOps specialist,C#; PHP; SQL; TypeScript,AngularJS; Node.js,Redis; SQL Server; PostgreSQL,Microsoft Azure,C++; C#; F#; Go; Python; TypeScript,AngularJS; Node.js; .NET Core,Redis; SQL Server; PostgreSQL,Arduino; Serverless; Amazon Web Services (AWS); Microsoft Azure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Agree,Disagree,Disagree,United Kingdom,4.5,Web Developer
Not specified,Java; JavaScript; PHP; Python; SQL; TypeScript,AngularJS,SQL Server; MySQL,,C++; C#; Java; JavaScript; PHP; TypeScript,AngularJS; Node.js; React; Xamarin; Firebase; .NET Core,MongoDB; Redis; MySQL; SQLite,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Belgium,4.5,Not specified
Embedded applications/devices developer; Graphics programming,C; C++; JavaScript; Python,,,Linux Desktop,Assembly; C; C++; Python,,,Linux Desktop; Raspberry Pi,Very important,Somewhat important,Somewhat important,Important,Not at all important,Important,Strongly agree,Agree,Agree,Strongly agree,Agree,Poland,2.5,Embedded Developer
Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist,Java; JavaScript,AngularJS; Node.js,Oracle; SQLite,Android,C++; C#; Haskell; Java; Python; Swift,.NET Core,,Android; iOS; Windows Phone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Peru,5.5,Desktop Developer
Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,C++; Python; SQL,,MySQL; Oracle; SQLite,Windows Desktop; Linux Desktop; Mac OS,Python; SQL,,MySQL; Oracle; SQLite,Windows Desktop; Linux Desktop,Important,Important,Very important,Somewhat important,Important,Important,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Germany,2.5,Desktop Developer
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Egypt,5.5,Web Developer
Web developer; Desktop applications developer; Systems administrator; DevOps specialist,Java; SQL,Cordova,PostgreSQL; Oracle,Linux Desktop; Amazon Web Services (AWS),Java; SQL,Cordova,PostgreSQL; Oracle,Linux Desktop; Amazon Web Services (AWS); Microsoft Azure,Important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Agree,Somewhat agree,Agree,Agree,Unknown,Pakistan,11.5,Web Developer
Not specified,C; C++; Matlab; Perl,,,Arduino; Raspberry Pi; WordPress,Python,,,Android; Windows Desktop; WordPress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Somewhat agree,Agree,Unknown,Hungary,2.5,Not specified
Not specified,,,,iOS; Mac OS; Arduino,,,,iOS; Linux Desktop; Mac OS; Arduino,Very important,Important,Important,Somewhat important,Very important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Agree,United Kingdom,4.5,Not specified
Web developer; Graphics programming; Database administrator; Systems administrator; DevOps specialist,CoffeeScript; JavaScript; Python,React,Redis; MySQL; PostgreSQL,Serverless; Amazon Web Services (AWS),C; Go; JavaScript; Python; Ruby,React,Redis; PostgreSQL,Serverless; Amazon Web Services (AWS),Somewhat important,Not very important,Very important,Not very important,Not at all important,Important,Unknown,Unknown,Unknown,Unknown,Disagree,United States,2.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brazil,4.5,Not specified
Web developer,Java; JavaScript,AngularJS; Node.js,SQL Server; PostgreSQL; Oracle,,Java; JavaScript,AngularJS; Hadoop; Node.js; React,Cassandra; SQL Server; PostgreSQL; Oracle,Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Austria,12.5,Web Developer
Web developer,C; C++; C#; Java; JavaScript; SQL,AngularJS,SQL Server; MySQL,,Java; JavaScript,AngularJS,SQL Server; MySQL,,Important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,Romania,1.5,Web Developer
Web developer,Java; JavaScript,AngularJS; Node.js; Cordova,SQL Server; Oracle,Amazon Web Services (AWS),C++; Java; JavaScript,AngularJS; Node.js; React,MongoDB; PostgreSQL,Android; Amazon Web Services (AWS),Important,Important,Important,Important,Not at all important,Important,Agree,Strongly agree,Strongly agree,Agree,Disagree,India,2.5,Web Developer
Not specified,C++; Java; JavaScript; R; SQL; TypeScript; VB.NET,AngularJS,SQLite,,C#; F#; Java; JavaScript; R; SQL; TypeScript,Hadoop; React; Spark; Xamarin; Firebase; .NET Core,MongoDB; Redis; PostgreSQL,Android,Important,Important,Important,Important,Important,Important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,South Africa,4.5,Not specified
Web developer; Mobile developer,Java; Objective-C; SQL,AngularJS,Cassandra; SQL Server; MySQL; SQLite,Android; iOS,Java; JavaScript; Objective-C; Python; SQL; Swift,AngularJS; Node.js; Firebase,MySQL; SQLite,Android; iOS; Mac OS; Raspberry Pi; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Brazil,2.5,Web Developer
Web developer; Data scientist; Database administrator; Quality assurance engineer,,,,,,,,,Important,Somewhat important,Very important,Somewhat important,Not very important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Agree,Germany,10.5,Web Developer
Web developer,C#; Go; JavaScript,AngularJS; Node.js,MongoDB; Redis; SQL Server,Linux Desktop,C#; Go; JavaScript,Node.js; .NET Core,MongoDB; Redis,Raspberry Pi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Bulgaria,0.5,Web Developer
Web developer; Embedded applications/devices developer; Desktop applications developer,Assembly; C; C++; C#; Java; JavaScript; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,,SQL Server; MySQL; PostgreSQL,Windows Desktop; Linux Desktop; WordPress,Assembly; C; C++; C#; PHP; Python; SQL,,MySQL,Linux Desktop,Important,Somewhat important,Very important,Somewhat important,Somewhat important,Important,Strongly agree,Strongly agree,Somewhat agree,Agree,Unknown,United Kingdom,8.5,Web Developer
Not specified,C++; JavaScript; PHP; VB.NET,Node.js; .NET Core,SQL Server; MySQL,Windows Desktop,JavaScript; Objective-C; PHP; VB.NET,Node.js; .NET Core,SQL Server; MySQL,Android; iOS; Windows Desktop,Important,Important,Important,Somewhat important,Not at all important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,I prefer not to say,4.5,Not specified
Web developer,C#; F#; JavaScript,AngularJS,Redis; SQL Server; MySQL,Microsoft Azure,C#; Elixir; F#; Go; JavaScript,AngularJS; Hadoop; Node.js; React; Spark; .NET Core,Cassandra; MongoDB; SQL Server; PostgreSQL,Serverless; Amazon Web Services (AWS); Microsoft Azure,Important,Not very important,Important,Somewhat important,Somewhat important,Very important,Somewhat agree,Strongly agree,Strongly agree,Agree,Unknown,Bulgaria,8.5,Web Developer
Web developer,Java; JavaScript; PHP; Python; Ruby; SQL,AngularJS; Node.js; React; Firebase,Redis; PostgreSQL,Android; WordPress; Amazon Web Services (AWS),JavaScript; Python; Ruby,Node.js; React; Firebase,Redis; PostgreSQL,Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Strongly agree,Somewhat agree,Unknown,El Salvador,3.5,Web Developer
Web developer; Database administrator; DevOps specialist; Other,C#; Go; JavaScript; Python; SQL,Node.js; .NET Core,MongoDB; Redis; SQL Server; MySQL; PostgreSQL; SQLite,Linux Desktop,C#; Go; Python; SQL,Node.js; .NET Core,PostgreSQL,Linux Desktop,Very important,Not very important,Very important,Not very important,Not very important,Not very important,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Croatia,3.5,Web Developer
Not specified,Visual Basic 6,,Oracle,Windows Desktop,Python,,MySQL; PostgreSQL,Linux Desktop,Important,Important,Somewhat important,Not very important,Somewhat important,Important,Agree,Agree,Strongly agree,Somewhat agree,Unknown,Bulgaria,4.5,Not specified
Web developer; Mobile developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,20.0,Web Developer
Web developer; Mobile developer; DevOps specialist,Java; JavaScript; SQL,,,Android,C++; C#; Java,React; Xamarin,,Android,Somewhat important,Somewhat important,Important,Not very important,Somewhat important,Important,Strongly agree,Agree,Somewhat agree,Somewhat agree,Unknown,Germany,2.5,Web Developer
Web developer; DevOps specialist,JavaScript; PHP; Python; SQL,Node.js,MySQL,,JavaScript; PHP; Python; SQL,AngularJS; Node.js; Cordova,MongoDB; Redis; MySQL,,Important,Somewhat important,Very important,Somewhat important,Not very important,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,France,12.5,Web Developer
Embedded applications/devices developer,C; Objective-C; Python; Ruby; SQL,,MySQL,,C; Python; SQL,,MySQL,,Not very important,Somewhat important,Very important,Not very important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,United Kingdom,15.5,Embedded Developer
Not specified,C++; C#,,,,C++; C#,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Agree,Agree,Unknown,Strongly agree,Romania,4.5,Not specified
Web developer; Mobile developer,Java; JavaScript; PHP,React,MySQL,Android; WordPress,Java; PHP; Python,React,MongoDB; MySQL,Android,Somewhat important,Somewhat important,Important,Important,Somewhat important,Important,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Austria,3.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,4.5,Not specified
Web developer; Database administrator; Systems administrator; DevOps specialist,C#; JavaScript; SQL; TypeScript,AngularJS,MongoDB; SQL Server,Amazon Web Services (AWS),C#; JavaScript; SQL; TypeScript,AngularJS,MongoDB; SQL Server,Amazon Web Services (AWS); Microsoft Azure,Not at all important,Not very important,Very important,Not at all important,Not at all important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Disagree,United Kingdom,20.0,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,France,4.5,Not specified
Web developer; Mobile developer; Graphic designer,JavaScript,,MySQL,WordPress,Swift,,SQLite,iOS; Mac OS,Somewhat important,Somewhat important,Important,Not very important,Not very important,Not very important,Agree,Agree,Agree,Agree,Disagree,India,1.5,Web Developer
Not specified,C; C++; C#; JavaScript; Matlab; Python; Swift,,,iOS; Raspberry Pi,Dart; Go; Ruby,AngularJS; Node.js; Firebase,MongoDB,iOS,Important,Very important,Important,Somewhat important,Important,Important,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,United States,4.5,Not specified
Web developer; Mobile developer; Graphics programming; Data scientist; Desktop applications developer; Systems administrator,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Romania,4.5,Web Developer
Web developer,C#; Java; JavaScript; SQL,Spark; Cordova,SQL Server; MySQL; PostgreSQL,Android,Java; JavaScript,Node.js; Cordova,MySQL; PostgreSQL,Android; Raspberry Pi,Very important,Very important,Very important,Not very important,Somewhat important,Important,Strongly agree,Strongly agree,Agree,Agree,Unknown,Turkey,15.5,Web Developer
Web developer; Mobile developer; DevOps specialist,Groovy; Java; JavaScript; SQL; TypeScript,,MySQL,Android,C#; Groovy; Java; JavaScript; Python; Scala; SQL; TypeScript; VB.NET,AngularJS; Node.js; React; .NET Core,MongoDB; MySQL,Linux Desktop; SharePoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,India,6.5,Web Developer
Web developer; Mobile developer; Database administrator,,,MongoDB; MySQL,,,,MongoDB; Redis,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Uganda,1.5,Web Developer
Web developer,JavaScript; Python; SQL,,MySQL; PostgreSQL,Linux Desktop,JavaScript; Python; SQL,,MySQL; PostgreSQL,Linux Desktop,Very important,Very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Agree,Agree,Agree,Somewhat agree,Agree,Russian Federation,5.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Unknown,Unknown,Unknown,Unknown,India,4.5,Not specified
Web developer,JavaScript; PHP; SQL,,MySQL,Raspberry Pi; WordPress; Amazon Web Services (AWS),,React,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,France,6.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United Kingdom,4.5,Not specified
Web developer,C#; JavaScript; SQL,AngularJS,SQL Server,Amazon Web Services (AWS); Microsoft Azure,C#; JavaScript; SQL,AngularJS; Xamarin; .NET Core,SQL Server,Microsoft Azure,Somewhat important,Somewhat important,Very important,Not very important,Not very important,Very important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,United States,16.5,Web Developer
Not specified,C; Java; PHP,,MySQL; Oracle; SQLite,Mac OS,Java,,Oracle,Mac OS,Somewhat important,Important,Somewhat important,Not very important,Not at all important,Important,Strongly agree,Agree,Agree,Agree,Agree,Germany,4.5,Not specified
Web developer; Mobile developer,Java; JavaScript; Objective-C; SQL,AngularJS; Node.js,MongoDB; Redis; MySQL; SQLite,Android; iOS; Windows Phone; Mac OS; Raspberry Pi; Mainframe; Amazon Web Services (AWS),Java; JavaScript; SQL; TypeScript,AngularJS; Node.js,Redis; MySQL; SQLite,Android; Amazon Web Services (AWS),Very important,Not very important,Important,Not at all important,Important,Unknown,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Spain,2.5,Web Developer
Web developer; Mobile developer; Graphic designer; Desktop applications developer,C#; CoffeeScript; Go; Java; JavaScript; Python,AngularJS; Node.js; React; Firebase,MongoDB; Redis; MySQL; Oracle,iOS; Windows Desktop; Mac OS; Amazon Web Services (AWS),C; Java; JavaScript; Python,AngularJS; Node.js; Firebase,MongoDB; Redis,iOS; Windows Desktop; Mac OS; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Germany,5.5,Web Developer
Not specified,C#; JavaScript,.NET Core,,Windows Phone,Java; PHP,,,Android; iOS; Linux Desktop; Amazon Web Services (AWS),Very important,Very important,Very important,Important,Very important,Important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unknown,United Kingdom,4.5,Not specified
Web developer,JavaScript; Python,React,PostgreSQL,Android,JavaScript; Python; Rust; SQL; TypeScript,AngularJS; React,Redis; PostgreSQL,Android; Linux Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Agree,Strongly agree,Agree,India,5.5,Web Developer
Data scientist,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,2.5,Data Scientist
Web developer; Mobile developer; Desktop applications developer,Java; Python; SQL,,MySQL; SQLite,Android,Java; SQL,,MySQL; SQLite,Android,Important,Not very important,Important,Important,Somewhat important,Important,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,United States,2.5,Web Developer
Mobile developer,C#; Java; R,AngularJS,MySQL; PostgreSQL; Oracle; SQLite,Android; Windows Desktop,Java,AngularJS,PostgreSQL; SQLite,Android; Windows Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Unknown,Poland,2.5,Mobile Developer
